ID	ORF	UniGeneHsID
10180_at	RBM6	Hs.439480
10181_at	RBM5	Hs.439480
10184_at	LHFPL2	Hs.670094; Hs.79299
10186_at	LHFP	Hs.507798
10188_at	TNK2	Hs.518513
10189_at	THOC4	Hs.534385
1019_at	CDK4	Hs.95577
10190_at	TXNDC9	Hs.536122
10193_at	RNF41	Hs.524502
10194_at	TSHZ1	Hs.284217
10195_at	ALG3	Hs.478481
10196_at	PRMT3	Hs.152337
10197_at	PSME3	Hs.152978
10198_at	MPHOSPH9	Hs.577404
10199_at	MPHOSPH10	Hs.656208
102_at	ADAM10	Hs.578508
1020_at	CDK5	Hs.647078
10200_at	MPHOSPH6	Hs.344400
10201_at	NME6	Hs.465558
10202_at	DHRS2	Hs.272499
10203_at	CALCRL	Hs.470882
10205_at	MPZL2	Hs.116651
10206_at	TRIM13	Hs.436922
10207_at	INADL	Hs.478125
10208_at	USPL1	Hs.533831
10209_at	EIF1	Hs.150580
1021_at	CDK6	Hs.119882
10210_at	TOPORS	Hs.589962; Hs.711159
10211_at	FLOT1	Hs.179986
10212_at	DDX39	Hs.311609
10213_at	PSMD14	Hs.567410
10214_at	SSX3	Hs.558445
10215_at	OLIG2	Hs.176977
10216_at	PRG4	Hs.647723
10217_at	CTDSPL	Hs.475963
10218_at	ANGPTL7	Hs.146559
10219_at	KLRG1	Hs.558446
1022_at	CDK7	Hs.184298
10220_at	GDF11	Hs.600883
10221_at	TRIB1	Hs.444947
10223_at	GPA33	Hs.651244
10225_at	CD96	Hs.142023
10226_at	PLIN3	Hs.140452
10227_at	MFSD10	Hs.632581
10228_at	STX6	Hs.518417
10229_at	COQ7	Hs.157113
10230_at	NBR2	Hs.373818; Hs.559259
10231_at	RCAN2	Hs.440168
10232_at	MSLN	Hs.408488
10233_at	LRRC23	Hs.155586
10234_at	LRRC17	Hs.567412
10235_at	RASGRP2	Hs.99491
10236_at	HNRNPR	Hs.373763
10237_at	SLC35B1	Hs.154073
10238_at	DCAF7	Hs.410596
10239_at	AP3S2	Hs.632161
1024_at	CDK8	Hs.382306
10240_at	MRPS31	Hs.154655
10241_at	CALCOCO2	Hs.514920
10242_at	KCNMB2	Hs.478368
10243_at	GPHN	Hs.208765
10244_at	RABEPK	Hs.19012
10245_at	TIMM17B	Hs.30570
10246_at	SLC17A2	Hs.591802
10247_at	HRSP12	Hs.18426
10248_at	POP7	Hs.416994
10249_at	GLYAT	Hs.145384
1025_at	CDK9	Hs.150423; Hs.706809
10250_at	SRRM1	Hs.18192
10252_at	SPRY1	Hs.436944
10253_at	SPRY2	Hs.18676
10254_at	STAM2	Hs.17200
10255_at	HCG9	Hs.656251
10256_at	CNKSR1	Hs.16232
10257_at	ABCC4	Hs.508423
1026_at	CDKN1A	Hs.370771
10260_at	DENND4A	Hs.654567
10261_at	IGSF6	Hs.530902
10262_at	SF3B4	Hs.516160
10263_at	CDK2AP2	Hs.523835
10265_at	IRX5	Hs.435730
10266_at	RAMP2	Hs.514193
10267_at	RAMP1	Hs.471783
10268_at	RAMP3	Hs.25691
10269_at	ZMPSTE24	Hs.132642; Hs.591501
1027_at	CDKN1B	Hs.238990
10270_at	AKAP8	Hs.719292
10272_at	FSTL3	Hs.529038
10273_at	STUB1	Hs.592081
10274_at	STAG1	Hs.412586
10276_at	NET1	Hs.25155
10277_at	UBE4B	Hs.632370
10278_at	EFS	Hs.24587
10279_at	PRSS16	Hs.274407
1028_at	CDKN1C	Hs.106070
10280_at	SIGMAR1	Hs.522087
10281_at	DSCR4	Hs.23251
10282_at	BET1	Hs.489132
10283_at	SDCCAG10	Hs.371372
10284_at	SAP18	Hs.524899
10285_at	SMNDC1	Hs.632093
10286_at	BCAS2	Hs.22960
10287_at	RGS19	Hs.422336
10288_at	LILRB2	Hs.655652
10289_at	EIF1B	Hs.315230
1029_at	CDKN2A	Hs.512599
10290_at	SPEG	Hs.21639
10291_at	SF3A1	Hs.406277
10293_at	TRAIP	Hs.517972
10294_at	DNAJA2	Hs.368078
10295_at	BCKDK	Hs.513520
10296_at	MAEA	Hs.139896
10297_at	APC2	Hs.446376
10298_at	PAK4	Hs.20447
10299_at	Mar-06	Hs.432862
103_at	ADAR	Hs.12341
1030_at	CDKN2B	Hs.72901
10300_at	KATNB1	Hs.275675
10301_at	DLEU1	Hs.591229; Hs.712880
10302_at	SNAPC5	Hs.30174
10307_at	APBB3	Hs.529449
10308_at	ZNF267	Hs.460645
10309_at	CCNO	Hs.3041
1031_at	CDKN2C	Hs.525324; Hs.716664
10311_at	DSCR3	Hs.369488
10312_at	TCIRG1	Hs.495985
10313_at	RTN3	Hs.719090
10314_at	LANCL1	Hs.13351
10316_at	NMUR1	Hs.471619
10317_at	B3GALT5	Hs.655094
10318_at	TNIP1	Hs.355141
10319_at	LAMC3	Hs.201805
1032_at	CDKN2D	Hs.435051
10320_at	IKZF1	Hs.435949; Hs.488251
10321_at	CRISP3	Hs.404466
10322_at	SMYD5	Hs.631882
10324_at	KBTBD10	Hs.50550
10325_at	RRAGB	Hs.50282
10326_at	SIRPB1	Hs.709487; Hs.710882
10327_at	AKR1A1	Hs.654435
10328_at	COX4NB	Hs.173162
10329_at	TMEM5	Hs.216386
1033_at	CDKN3	Hs.84113
10330_at	CNPY2	Hs.8752
10331_at	B3GNT3	Hs.657825; Hs.69009
10332_at	CLEC4M	Hs.421437
10333_at	TLR6	Hs.654532; Hs.662185
10335_at	MRVI1	Hs.501898
10336_at	PCGF3	Hs.144309; Hs.707307
10342_at	TFG	Hs.518123
10343_at	PKDREJ	Hs.241383
10344_at	CCL26	Hs.131342
10345_at	TRDN	Hs.654601
10346_at	TRIM22	Hs.501778; Hs.684559
10347_at	ABCA7	Hs.134514
10350_at	ABCA9	Hs.131686
10351_at	ABCA8	Hs.58351
10352_at	WARS2	Hs.523506
1036_at	CDO1	Hs.442378
10360_at	NPM3	Hs.90691
10361_at	NPM2	Hs.131055
10362_at	HMG20B	Hs.406534
10363_at	HMG20A	Hs.69594
10365_at	KLF2	Hs.715677
10367_at	CBARA1	Hs.524367
10368_at	CACNG3	Hs.7235
10369_at	CACNG2	Hs.670146
10370_at	CITED2	Hs.82071
10371_at	SEMA3A	Hs.252451
10376_at	TUBA1B	Hs.524390; Hs.719075
10379_at	IRF9	Hs.1706
1038_at	CDR1	Hs.446675
10380_at	BPNT1	Hs.406134
10381_at	TUBB3	Hs.511743
10382_at	TUBB4	Hs.110837
10383_at	TUBB2C	Hs.433615
10384_at	BTN3A3	Hs.167741
10385_at	BTN2A2	Hs.373938
10388_at	SYCP2	Hs.202676
10389_at	SCML2	Hs.495774
1039_at	CDR2	Hs.513430
10390_at	CEPT1	Hs.363572; Hs.636850
10391_at	CORO2B	Hs.551213
103910_at	MYL12B	Hs.190086; Hs.464472
10392_at	NOD1	Hs.405153
10393_at	ANAPC10	Hs.480876
10394_at	PRG3	Hs.251386
10395_at	DLC1	Hs.134296
10396_at	ATP8A1	Hs.435052
10397_at	NDRG1	Hs.372914; Hs.618002
10398_at	MYL9	Hs.504687
10399_at	GNB2L1	Hs.5662
104_at	ADARB1	Hs.474018
1040_at	CDS1	Hs.654899; Hs.708641
10400_at	PEMT	Hs.287717
10401_at	PIAS3	Hs.435761
10402_at	ST3GAL6	Hs.148716
10403_at	NDC80	Hs.414407
10404_at	PGCP	Hs.156178
10406_at	WFDC2	Hs.2719
10407_at	SPAG11B	Hs.2717
10409_at	BASP1	Hs.201641
1041_at	CDSN	Hs.556031
10411_at	RAPGEF3	Hs.8578
10413_at	YAP1	Hs.503692
10417_at	SPON2	Hs.302963
10418_at	SPON1	Hs.705394
10419_at	PRMT5	Hs.367854
10420_at	TESK2	Hs.591499
10421_at	CD2BP2	Hs.202677
10422_at	UBAC1	Hs.9194
10423_at	CDIPT	Hs.719143
10424_at	PGRMC2	Hs.507910
10425_at	ARIH2	Hs.633601
10426_at	TUBGCP3	Hs.224152
10427_at	SEC24B	Hs.292472
10428_at	CFDP1	Hs.461361
1043_at	CD52	Hs.276770
10430_at	TMEM147	Hs.9234
10431_at	TIMM23	Hs.499594; Hs.524308; Hs.536158; Hs.661964
10432_at	RBM14	Hs.533712
10434_at	LYPLA1	Hs.435850
10435_at	CDC42EP2	Hs.343380
10436_at	EMG1	Hs.558447
10437_at	IFI30	Hs.14623
10438_at	C1D	Hs.602900; Hs.697447
10439_at	OLFM1	Hs.522484
1044_at	CDX1	Hs.1545
10440_at	TIMM17A	Hs.20716
