ID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label	P	P	P	NP	NP	
157869_at	1158.1	1275.0	1886.8	845.1	1073.4	
157922_at	70.0	82.8	73.9	85.5	85.2	
157983_at	83.2	43.2	50.1	53.8	51.6	
1579_at	10.0	11.4	18.1	13.9	12.3	
157_at	95.7	84.6	88.1	262.4	218.4	
158038_at	80.8	84.0	66.6	39.4	34.9	
158046_at	9.5	12.6	20.0	8.9	10.5	
158055_at	16.1	17.0	14.0	17.1	20.5	
158056_at	55.9	58.6	97.6	76.7	85.2	
158067_at	102.4	196.4	131.6	91.8	70.1	
1580_at	213.2	509.7	608.6	437.3	254.6	
158131_at	6.5	10.1	7.2	7.6	6.8	
158135_at	40.3	20.9	27.0	17.7	27.0	
158158_at	136.0	51.4	175.9	35.6	64.8	
1581_at	10.0	11.5	22.1	22.7	19.6	
158219_at	191.3	151.5	195.1	217.5	183.7	
158248_at	14.4	17.0	20.4	17.6	15.9	
158257_at	878.6	1220.4	1352.8	1402.0	1151.4	
158293_at	428.5	412.7	367.3	412.4	413.0	
158297_at	11.5	15.6	15.6	14.0	22.3	
1582_at	8.2	9.4	7.0	10.9	9.7	
158326_at	189.9	178.7	186.3	317.5	178.1	
158358_at	78.8	78.7	83.9	71.6	76.9	
158376_at	109.3	139.1	70.9	179.0	160.3	
158381_at	6.9	6.6	30.3	7.8	5.0	
158399_at	21.8	23.8	25.0	31.1	18.4	
1583_at	407.4	610.5	358.5	535.0	251.4	
158401_at	7.7	7.1	9.9	6.2	6.5	
158427_at	1148.2	1442.1	1248.5	1185.3	1128.2	
158471_at	9.7	9.7	25.8	12.8	10.0	
1584_at	7.4	7.6	8.4	7.4	7.2	
158506_at	4.4	4.0	4.3	4.9	4.1	
158521_at	5.2	5.5	7.4	6.1	6.4	
158584_at	26.0	35.0	25.9	29.5	35.4	
158586_at	59.0	53.6	61.9	55.7	50.6	
1585_at	15.8	21.4	18.8	19.4	17.3	
1586_at	8.6	12.7	9.0	9.5	8.3	
158724_at	5.6	6.0	4.2	4.8	5.1	
158747_at	343.9	328.3	400.6	253.8	246.7	
158763_at	7.8	10.8	8.4	5.9	7.2	
158787_at	11.0	12.4	11.0	11.9	10.3	
158798_at	5.9	6.9	8.8	8.6	6.9	
1587_at	5.9	5.7	5.5	8.4	5.1	
158800_at	30.4	33.5	51.0	90.7	80.3	
158801_at	15.8	22.4	27.4	18.9	16.8	
158809_at	3.9	3.9	4.7	4.1	4.1	
158830_at	90.9	39.0	126.4	90.7	113.1	
158833_at	10.5	10.8	11.5	9.5	10.6	
158866_at	110.6	156.9	182.7	131.9	115.5	
158880_at	12.7	15.6	16.1	16.2	13.0	
1588_at	112.4	136.9	111.3	49.6	63.2	
1589_at	75.9	139.7	231.5	120.4	87.5	
158_at	1003.5	1034.0	937.1	966.5	956.9	
159013_at	134.1	80.2	82.8	119.5	83.7	
159090_at	422.1	413.8	647.7	494.4	554.7	
159091_at	42.8	70.6	85.4	50.3	46.7	
159162_at	4.9	4.6	5.9	6.9	5.1	
159195_at	1413.5	1721.6	1823.7	993.4	834.7	
1591_at	4.6	4.5	4.9	4.7	4.5	
159296_at	7.2	7.6	7.6	7.4	7.3	
1592_at	8.6	6.3	6.7	8.3	7.3	
1593_at	1458.6	1659.8	1324.1	1394.1	864.6	
159491_at	5.6	5.7	5.9	6.2	5.5	
1594_at	10.7	8.7	8.4	9.7	9.5	
1595_at	1137.1	1211.3	1350.6	1195.6	1274.4	
159686_at	19.5	18.6	20.7	27.5	20.2	
159963_at	5.3	6.2	5.8	7.1	5.6	
159989_at	4.7	5.1	4.9	5.5	4.8	
159_at	1065.3	882.2	886.1	996.6	1139.7	
15_at	5.5	5.3	5.5	5.4	4.4	
160065_at	9.2	8.7	8.0	10.8	8.7	
1600_at	12.4	11.6	28.4	10.9	9.1	
160140_at	6.1	5.8	5.3	5.2	5.6	
1601_at	778.0	742.1	588.8	877.0	655.6	
160287_at	4.1	3.9	4.0	3.7	4.0	
160298_at	7.7	7.2	7.2	6.6	7.4	
1602_at	44.6	40.7	26.6	67.2	49.5	
160335_at	27.1	31.7	51.1	20.8	38.2	
160364_at	45.8	370.9	60.7	330.8	46.0	
160365_at	164.8	135.2	20.5	105.4	34.3	
1603_at	2371.6	2299.1	1727.8	1779.2	1788.8	
160418_at	235.8	189.5	137.4	202.3	229.6	
160419_at	4.4	4.4	5.7	5.4	4.4	
160428_at	38.2	30.6	28.8	35.0	25.8	
160492_at	5.8	7.2	6.1	8.7	6.8	
1604_at	1084.1	1186.0	1022.7	891.1	1019.7	
160518_at	37.1	35.4	38.6	34.8	33.4	
1605_at	1514.2	1312.7	1299.3	992.0	1116.3	
160622_at	257.4	308.0	239.3	300.6	295.8	
1606_at	120.8	142.1	126.5	134.5	161.6	
160728_at	7.6	10.3	10.6	8.0	11.2	
160760_at	193.4	189.3	134.3	190.5	140.6	
160762_at	8.7	8.5	6.7	9.0	11.4	
160777_at	12.1	12.1	18.0	16.1	21.0	
1607_at	8.2	12.0	10.5	11.7	8.6	
160851_at	5.9	5.4	7.2	9.6	5.8	
160897_at	578.7	424.6	924.0	665.6	526.3	
1608_at	32.1	23.6	11.9	14.9	18.8	
1609_at	67.6	69.2	66.7	91.3	87.0	
160_at	94.4	97.0	85.9	93.7	112.6	
161003_at	100.2	106.9	175.8	36.4	44.0	
1610_at	8.2	7.9	7.4	9.2	7.8	
161142_at	9.4	6.5	8.6	8.5	7.2	
