ID	ORF	UniGeneHsID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label			P	P	P	NP	NP	
25998_at	IBTK	Hs.306425	984.5	1026.6	1140.8	1130.0	1043.9	
25999_at	CLIP3	Hs.466539	504.5	646.5	437.3	438.3	411.7	
259_at	AMBP	Hs.436911	14.3	16.6	15.3	20.1	15.4	
25_at	ABL1	Hs.431048	888.9	845.7	690.6	880.7	1011.7	
26000_at	TBC1D10B	Hs.632182	186.9	183.7	137.9	160.5	177.5	
26001_at	RNF167	Hs.7158	502.4	541.8	507.7	504.4	470.0	
26002_at	MOXD1	Hs.6909	588.7	426.5	230.5	95.8	250.0	
26003_at	GORASP2	Hs.431317	1719.4	1783.9	1618.7	1844.6	1777.4	
26005_at	C2CD3	Hs.557938; Hs.694798	21.4	11.3	19.8	26.2	19.0	
26007_at	DAK	Hs.6278	94.8	106.4	58.8	69.6	91.6	
26009_at	ZZZ3	Hs.480506	505.6	469.0	676.1	487.4	529.4	
26010_at	SPATS2L	Hs.120323	552.3	512.7	428.1	514.2	461.2	
26011_at	ODZ4	Hs.213087; Hs.689053	312.0	254.8	234.5	703.6	323.7	
26012_at	NELF	Hs.455336	372.2	483.9	501.5	435.9	422.9	
26013_at	L3MBTL	Hs.709356	20.2	22.5	26.9	25.5	23.5	
26015_at	RPAP1	Hs.371045	242.1	304.3	254.4	298.7	273.4	
26017_at	FAM32A	Hs.631614	1967.3	1709.8	1391.3	1469.8	1541.2	
26018_at	LRIG1	Hs.518055	467.6	492.5	445.5	519.4	531.5	
26019_at	UPF2	Hs.370689; Hs.610110	604.7	508.6	791.1	658.6	640.2	
26020_at	LRP10	Hs.525232	1852.9	1871.6	1437.7	1499.6	1451.9	
26022_at	TMEM98	Hs.3447	1715.3	1948.9	1156.1	1005.6	930.8	
26024_at	PTCD1	Hs.632313	550.6	837.6	656.4	764.3	839.0	
26027_at	ACOT11	Hs.709710	42.6	53.1	54.8	51.8	51.1	
260293_at	CYP4X1	Hs.439760	356.1	347.6	521.5	270.1	300.1	
26030_at	PLEKHG3	Hs.509637	163.9	205.4	225.0	158.0	199.5	
26031_at	OSBPL3	Hs.520259	137.0	118.3	270.4	123.1	132.0	
26032_at	SUSD5	Hs.196647	278.5	175.8	215.0	108.2	283.7	
26033_at	ATRNL1	Hs.501127	5.6	5.6	5.8	6.6	6.0	
26034_at	IPCEF1	Hs.146100	151.4	112.1	154.1	108.6	166.6	
26035_at	GLCE	Hs.183006	1574.0	1601.2	1357.7	1322.0	1424.5	
26036_at	ZNF451	Hs.485628; Hs.705485	2317.4	2537.6	2490.9	2100.8	2281.6	
26037_at	SIPA1L1	Hs.654657	511.4	587.9	522.3	618.1	472.0	
26038_at	CHD5	Hs.522898	15.6	17.0	18.7	17.9	20.2	
26039_at	SS18L1	Hs.154429	800.8	722.9	1121.7	906.6	1103.4	
26040_at	SETBP1	Hs.435458	680.0	658.4	393.2	610.5	467.1	
260425_at	MAGI3	Hs.486189	121.0	108.5	109.0	118.7	99.2	
260429_at	PRSS33	Hs.280658	8.0	10.8	9.2	9.8	9.2	
260434_at	PYDC1	Hs.58314	5.0	4.8	5.7	7.4	6.1	
260436_at	C4orf7	Hs.320147	5.1	4.9	6.0	5.9	5.1	
26043_at	UBXN7	Hs.518524	126.1	117.2	101.1	83.1	133.1	
26045_at	LRRTM2	Hs.656653	120.5	157.6	132.7	190.1	110.6	
26046_at	RNF160	Hs.288773	509.7	485.7	727.4	579.2	593.9	
26047_at	CNTNAP2	Hs.655684	6.3	6.9	7.6	7.9	7.2	
26048_at	ZNF500	Hs.513316	76.4	69.3	53.0	63.0	58.1	
26049_at	FAM169A	Hs.91662	45.8	47.7	88.8	40.9	44.9	
26050_at	SLITRK5	Hs.591208	477.1	619.0	617.8	216.1	413.6	
26051_at	PPP1R16B	Hs.45719	426.6	213.1	188.0	308.1	311.5	
26052_at	DNM3	Hs.654775	106.4	112.0	80.7	81.7	104.7	
26053_at	AUTS2	Hs.654801; Hs.712991	454.6	561.0	566.7	490.6	399.4	
26054_at	SENP6	Hs.485784	380.7	393.5	739.7	625.5	618.6	
26056_at	RAB11FIP5	Hs.24557	744.1	821.2	703.6	477.0	565.0	
26057_at	ANKRD17	Hs.644997; Hs.719092	545.4	578.2	548.6	493.0	494.7	
26058_at	GIGYF2	Hs.565319	605.6	629.9	632.2	585.7	615.0	
26059_at	ERC2	Hs.476389	23.6	15.4	41.2	45.3	11.1	
26060_at	APPL1	Hs.476415	424.2	269.5	289.2	254.6	358.5	
26061_at	HACL1	Hs.63290	861.9	774.2	840.2	1061.0	814.6	
26062_at	HYALP1	Hs.381305	4.3	4.6	5.6	6.0	5.3	
26063_at	DECR2	Hs.628831	205.7	223.8	247.1	340.5	381.8	
26064_at	RAI14	Hs.431400	3342.5	3520.4	4106.0	2591.0	2856.0	
26065_at	LSM14A	Hs.718430	2585.9	2806.2	2648.3	2469.9	2609.5	
26071_at	FAM127B	Hs.460924; Hs.719352	512.1	546.6	477.0	458.9	464.3	
26073_at	POLDIP2	Hs.241543	1073.1	991.0	817.7	1049.2	1154.0	
26074_at	C20orf26	Hs.176013	6.8	7.0	6.4	8.7	6.7	
26083_at	TBC1D29	Hs.241421	16.4	14.4	14.4	14.7	17.4	
26084_at	SGEF	Hs.240845	260.2	326.2	267.9	181.0	217.0	
26085_at	KLK13	Hs.165296	33.8	27.7	38.1	24.9	23.7	
26088_at	GGA1	Hs.499158	231.9	300.2	323.0	277.3	279.4	
26090_at	ABHD12	Hs.441550	609.7	784.8	456.3	442.3	569.1	
26091_at	HERC4	Hs.51891	545.1	579.5	886.9	673.0	885.1	
26092_at	TOR1AIP1	Hs.496459	267.6	268.2	275.4	246.4	273.3	
26093_at	CCDC9	Hs.227782	53.2	71.4	62.3	64.6	50.6	
26094_at	DCAF4	Hs.331491	346.9	291.0	304.4	281.8	271.9	
26097_at	C1orf77	Hs.716398	1027.6	1108.5	843.5	964.8	956.9	
26098_at	C10orf137	Hs.468688	291.1	299.0	533.4	323.7	353.5	
26099_at	C1orf144	Hs.252967	261.3	281.2	193.3	220.2	273.4	
26100_at	WIPI2	Hs.122363	625.7	622.4	539.7	577.1	585.5	
26103_at	LRIT1	Hs.226000	8.3	7.2	8.6	10.6	8.8	
26112_at	CCDC69	Hs.655336	1810.7	1926.1	985.7	2255.6	2418.7	
26115_at	TANC2	Hs.410889	136.5	123.5	109.2	81.0	82.9	
26118_at	WSB1	Hs.446017	697.8	650.2	1092.9	942.4	885.4	
26119_at	LDLRAP1	Hs.590911	342.7	524.6	504.1	438.8	387.6	
26121_at	PRPF31	Hs.515598	171.0	210.3	202.2	204.1	184.9	
26122_at	EPC2	Hs.23270	613.7	609.8	756.9	592.3	651.7	
26123_at	TCTN3	Hs.438991	618.6	639.2	588.6	547.8	534.8	
26127_at	FGFR1OP2	Hs.591162	177.3	213.0	223.5	190.0	203.7	
26128_at	KIAA1279	Hs.279580	733.8	697.7	777.4	624.5	689.4	
26130_at	GAPVD1	Hs.495134	287.7	287.4	340.4	309.4	331.6	
26133_at	TRPC4AP	Hs.168073	113.6	109.7	131.6	156.6	132.3	
26135_at	SERBP1	Hs.719078	939.3	926.4	905.3	920.3	975.9	
26136_at	TES	Hs.592286; Hs.664957	520.9	423.3	284.9	365.2	466.6	
26137_at	ZBTB20	Hs.655108	1015.6	1058.6	1101.7	786.8	1024.1	
26140_at	TTLL3	Hs.709359	131.6	180.4	290.7	273.5	246.9	
26145_at	IRF2BP1	Hs.515477	94.2	107.7	104.6	105.1	84.6	
26146_at	TRAF3IP1	Hs.631898	169.4	176.2	117.9	222.8	164.3	
26147_at	PHF19	Hs.460124	173.7	208.4	150.4	157.6	159.6	
